forecast_id,feature_timestamp,forecast_timestamp,horizon_seconds,sensor,model,current_value,predicted_value,change_from_current,status,severity,alert_type,reason,model_reliability,created_at
1664,2026-06-08 00:07:06,2026-06-08 00:08:06,60,mag_y,Ridge,280.504,221.2565854259769,-59.24741457402311,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.596708
1665,2026-06-08 00:07:06,2026-06-08 00:08:06,60,mag_z,Ridge,316.442,228.15099662650223,-88.29100337349777,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.597078
1666,2026-06-08 00:07:06,2026-06-08 00:08:06,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.597463
1667,2026-06-08 00:07:07,2026-06-08 00:08:07,60,vib_x_rms,XGBoost,0.111445,0.1118145659565925,0.0003695659565925,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1118 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.597788
1668,2026-06-08 00:07:07,2026-06-08 00:08:07,60,vib_y_rms,XGBoost,0.148903,0.1431270092725753,-0.0057759907274246,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1431 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.598087
1669,2026-06-08 00:07:07,2026-06-08 00:08:07,60,vib_z_rms,XGBoost,0.058929,0.0645267516374588,0.0055977516374587,NORMAL,INFO,NONE,Predicted vibration 0.0645 is below warning threshold.,MODERATE,2026-09-11 11:16:31.598336
1670,2026-06-08 00:07:07,2026-06-08 00:08:07,60,mag_x,Ridge,325.864,228.3214991172292,-97.54250088277078,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.598604
1671,2026-06-08 00:07:07,2026-06-08 00:08:07,60,mag_y,Ridge,345.114,227.1152270332494,-117.99877296675058,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.598845
1672,2026-06-08 00:07:07,2026-06-08 00:08:07,60,mag_z,Ridge,142.73,227.7377487797911,85.00774877979111,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.599091
1673,2026-06-08 00:07:07,2026-06-08 00:08:07,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.599420
1674,2026-06-08 00:07:09,2026-06-08 00:08:09,60,vib_x_rms,XGBoost,0.116879,0.1118291765451431,-0.0050498234548568,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1118 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.599723
1675,2026-06-08 00:07:09,2026-06-08 00:08:09,60,vib_y_rms,XGBoost,0.14427,0.1433164179325103,-0.0009535820674896,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1433 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.600022
1676,2026-06-08 00:07:09,2026-06-08 00:08:09,60,vib_z_rms,XGBoost,0.067198,0.0635293573141098,-0.0036686426858901,NORMAL,INFO,NONE,Predicted vibration 0.0635 is below warning threshold.,MODERATE,2026-09-11 11:16:31.600387
1677,2026-06-08 00:07:09,2026-06-08 00:08:09,60,mag_x,Ridge,120.274,234.3048465619717,114.03084656197169,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.600765
1678,2026-06-08 00:07:09,2026-06-08 00:08:09,60,mag_y,Ridge,318.304,224.53426550199205,-93.76973449800792,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.601021
