sensor,horizon_samples,approx_horizon_seconds,model,MAE,RMSE,R2,evaluation_points
vib_z_rms,600,600.0,LinearTrend30,0.09565700569258438,0.494587218687484,-297.52726086373775,10000
mag_x,1,1.0,Persistence,153.5751551441,187.97408638035412,-1.0203483575150014,10000
mag_x,1,1.0,RecentMean30,116.02423382194999,134.47328729528232,-0.03395666443090595,10000
mag_x,1,1.0,LinearTrend30,120.20244260177073,141.44331335661926,-0.14391863811321093,10000
mag_x,5,5.0,Persistence,154.63240499740002,188.71128939212645,-1.0203500842245856,10000
mag_x,5,5.0,RecentMean30,116.00520203383444,134.8824602504364,-0.03214763976074786,10000
mag_x,5,5.0,LinearTrend30,122.55024714673529,145.4716880452479,-0.20057092855686665,10000
mag_x,10,10.0,Persistence,153.32377715716666,187.3842920576338,-1.0111482472855586,10000
mag_x,10,10.0,RecentMean30,116.07507502469889,134.51808361695097,-0.03642782372059861,10000
mag_x,10,10.0,LinearTrend30,127.13397796758511,152.1678022920745,-0.32624346463115983,10000
mag_x,30,30.0,Persistence,152.147490417,185.75414821457358,-0.974025554847427,10000
mag_x,30,30.0,RecentMean30,115.48467961735668,134.06170790818186,-0.028218051519312004,10000
mag_x,30,30.0,LinearTrend30,148.60897865852095,182.47292207351992,-0.9049017550311578,10000
mag_x,60,60.0,Persistence,153.2439970172,187.3936614371201,-1.0187089869014816,10000
mag_x,60,60.0,RecentMean30,115.8570488031989,134.45755417406906,-0.03928422854308855,10000
mag_x,60,60.0,LinearTrend30,199.250688061985,247.4650004794659,-2.5203957781285142,10000
mag_x,300,300.0,Persistence,150.626173435,185.32918021336542,-0.9646946904560689,10000
mag_x,300,300.0,RecentMean30,115.97116164226556,134.2810645347676,-0.03142347863219297,10000
mag_x,300,300.0,LinearTrend30,711.2128261223526,887.527278176072,-44.057893282954495,10000
mag_x,600,600.0,Persistence,150.5281643166,185.65194804706346,-0.9587653460568575,10000
mag_x,600,600.0,RecentMean30,115.96267175567222,134.57808549846362,-0.02927655916574734,10000
mag_x,600,600.0,LinearTrend30,1376.580154092757,1720.884501305154,-167.30105454697213,10000
mag_y,1,1.0,Persistence,152.740185354,187.0084684901397,-1.0218397213434232,10000
mag_y,1,1.0,RecentMean30,115.65771903850558,134.23554921543973,-0.0417398205765096,10000
mag_y,1,1.0,LinearTrend30,120.01355107794544,141.27053477740196,-0.1537915545766606,10000
mag_y,5,5.0,Persistence,154.7084026114,188.98004431494402,-0.9998255353355765,10000
mag_y,5,5.0,RecentMean30,116.94668502307002,135.41535079036197,-0.026824009005183225,10000
mag_y,5,5.0,LinearTrend30,122.56462328334231,145.57126780063282,-0.18661967564137116,10000
mag_y,10,10.0,Persistence,153.92221465583333,188.499420154545,-1.0300446982767366,10000
mag_y,10,10.0,RecentMean30,115.75906412342778,134.20212628735882,-0.02897389502815506,10000
mag_y,10,10.0,LinearTrend30,126.93656664964114,151.8324596041969,-0.3170880764251367,10000
mag_y,30,30.0,Persistence,152.8662406159,187.45189909466723,-1.03598688188917,10000
mag_y,30,30.0,RecentMean30,115.13144094039444,133.6751980208596,-0.03537329304622894,10000
mag_y,30,30.0,LinearTrend30,148.65052874614926,182.86711917677775,-0.9376107378849814,10000
mag_y,60,60.0,Persistence,153.0581253391,187.6084016787649,-1.018271494356572,10000
mag_y,60,60.0,RecentMean30,116.06625394480554,134.82676490828186,-0.042382825697423465,10000
mag_y,60,60.0,LinearTrend30,197.89600822393916,246.7469788355863,-2.4912319799730533,10000
mag_y,300,300.0,Persistence,153.5675965225,188.24763752772068,-1.0251271602981231,10000
mag_y,300,300.0,RecentMean30,115.8576347762811,134.5224304542389,-0.0341478647567206,10000
mag_y,300,300.0,LinearTrend30,707.6796581625199,888.9569301971982,-44.16007651714419,10000
mag_y,600,600.0,Persistence,152.4300944346,187.01937373891903,-0.9665437848490386,10000
mag_y,600,600.0,RecentMean30,116.57166742632555,135.32090553908748,-0.02958027657539275,10000
mag_y,600,600.0,LinearTrend30,1373.6243352757886,1723.0964330575355,-165.93584140891053,10000
mag_z,1,1.0,Persistence,150.9621174282,185.20264402773586,-0.9405381297208351,10000
mag_z,1,1.0,RecentMean30,116.76862548791834,135.36037871169748,-0.03659936164706634,10000
mag_z,1,1.0,LinearTrend30,119.94361525172494,141.5753855706671,-0.13397458642729654,10000
mag_z,5,5.0,Persistence,151.431687213,185.98346644013952,-0.9819636949923769,10000
mag_z,5,5.0,RecentMean30,116.04200005129834,134.2854895347434,-0.0332494727524264,10000
mag_z,5,5.0,LinearTrend30,121.91272870323327,144.75248962493077,-0.20060211162507113,10000
mag_z,10,10.0,Persistence,153.2533875281,187.43959985412465,-0.9930761305791413,10000
mag_z,10,10.0,RecentMean30,116.52404848114834,135.175692761539,-0.03656943553771752,10000
mag_z,10,10.0,LinearTrend30,128.01464064734148,152.43290423746257,-0.31813119845322535,10000
mag_z,30,30.0,Persistence,154.1957037333,188.7301342805019,-1.0212725687770234,10000
mag_z,30,30.0,RecentMean30,116.47063745084833,135.05170549908615,-0.03500519675644953,10000
mag_z,30,30.0,LinearTrend30,149.30820285019726,183.88741055100442,-0.9188736483138236,10000
mag_z,60,60.0,Persistence,152.61457100485,186.95415632094458,-0.9911385596795494,10000
mag_z,60,60.0,RecentMean30,115.80910704979499,134.59781090221904,-0.032065418942497814,10000
mag_z,60,60.0,LinearTrend30,199.23412234144033,248.77142293749392,-2.5255933141863958,10000
mag_z,300,300.0,Persistence,151.78139182375,186.0238227108523,-0.9739114238799427,10000
mag_z,300,300.0,RecentMean30,116.35881869341499,135.08562351584624,-0.040899487023253744,10000
mag_z,300,300.0,LinearTrend30,711.247518844537,889.6796790224886,-44.150012326517945,10000
mag_z,600,600.0,Persistence,152.3887727015,186.94920586378979,-1.0138921090324295,10000
mag_z,600,600.0,RecentMean30,115.31354329297501,134.3353049264101,-0.039846613580998946,10000
mag_z,600,600.0,LinearTrend30,1382.6786548433638,1728.2840206094386,-171.11518183520027,10000
temperature,1,1.0,Persistence,0.011395839446499984,0.028722609943770593,0.9997530817027872,10000
temperature,1,1.0,RecentMean30,0.0388348722272386,0.0713262285530917,0.9984773363010002,10000
temperature,1,1.0,LinearTrend30,0.026169940063966526,0.04963358128475067,0.9992626788401584,10000
temperature,5,5.0,Persistence,0.023257027130999978,0.05394417667135084,0.9991291355912484,10000
temperature,5,5.0,RecentMean30,0.045772444899571926,0.08458378211327933,0.9978589066398038,10000
temperature,5,5.0,LinearTrend30,0.03871270062007914,0.07191702873822367,0.9984521642399034,10000
temperature,10,10.0,Persistence,0.03418573778516667,0.06890914856173891,0.9985785283647199,10000
temperature,10,10.0,RecentMean30,0.05334094562027199,0.09419837050994363,0.9973437361565638,10000
temperature,10,10.0,LinearTrend30,0.053001781571001425,0.09232814249505081,0.9974481647816199,10000
temperature,30,30.0,Persistence,0.06544900328399995,0.11876273476697059,0.9957848405192797,10000
temperature,30,30.0,RecentMean30,0.07988315344557192,0.1374157935434559,0.9943567806442437,10000
temperature,30,30.0,LinearTrend30,0.10743312552402864,0.17915087062923296,0.9904083907518834,10000
temperature,60,60.0,Persistence,0.09946500277399996,0.16928135189891072,0.991446002009711,10000
temperature,60,60.0,RecentMean30,0.11160003734242754,0.18446167864052457,0.9898430522229942,10000
temperature,60,60.0,LinearTrend30,0.1871929440028784,0.3067231707082605,0.971916962716688,10000
temperature,300,300.0,Persistence,0.27571519268399997,0.40527022829181486,0.9515124071473314,10000
temperature,300,300.0,RecentMean30,0.2826268023280721,0.41267690390818346,0.9497239037027865,10000
temperature,300,300.0,LinearTrend30,0.7988081291472903,1.3273737796783316,0.47985109176150487,10000
temperature,600,600.0,Persistence,0.402847926559,0.5738444879296624,0.9040520667458563,10000
temperature,600,600.0,RecentMean30,0.40673274190902764,0.5774119501184413,0.9028553850554986,10000
temperature,600,600.0,LinearTrend30,1.534820667336278,2.612563927878422,-0.9887539166034371,10000
